ID,Prob1
0, 0.44947
1, 0.87466
2, 0.24217
3, 0.75022
4, 0.47624
5, 0.41577
6, 0.30410
7, 0.11088
8, 0.23316
9, 0.31430
10, 0.44711
11, 0.83410
12, 0.09271
13, 0.20128
14, 0.17870
15, 0.05921
16, 0.41333
17, 0.09453
18, 0.56398
19, 0.70992
20, 0.61103
21, 0.31359
22, 0.74193
23, 0.52509
24, 0.59748
25, 0.54215
26, 0.17758
27, 0.14301
28, 0.24289
29, 0.22215
30, 0.61912
31, 0.12639
32, 0.88963
33, 0.22830
34, 0.28323
35, 0.25111
36, 0.16961
37, 0.52965
38, 0.44448
39, 0.28414
40, 0.45341
41, 0.67436
42, 0.48406
43, 0.24570
44, 0.40681
45, 0.40702
46, 0.68693
47, 0.41307
48, 0.78432
49, 0.47362
50, 0.18721
51, 0.64163
52, 0.48916
53, 0.29888
54, 0.68541
55, 0.60513
56, 0.22646
57, 0.21214
58, 0.48161
59, 0.35474
60, 0.46674
61, 0.36398
62, 0.14491
63, 0.49718
64, 0.08212
65, 0.55858
66, 0.17288
67, 0.50644
68, 0.01937
69, 0.88524
70, 0.32548
71, 0.35293
72, 0.36799
73, 0.08322
74, 0.59330
75, 0.53583
76, 0.40405
77, 0.05295
78, 0.21366
79, 0.26999
80, 0.12716
81, 0.39118
82, 0.43392
83, 0.10827
84, 0.59879
85, 0.29382
86, 0.16412
87, 0.39204
88, 0.08882
89, 0.02181
90, 0.59172
91, 0.46322
92, 0.49150
93, 0.10044
94, 0.15454
95, 0.50363
96, 0.53153
97, 0.26257
98, 0.24588
99, 0.36761
100, 0.28892
101, 0.08668
102, 0.35273
103, 0.33810
104, 0.26357
105, 0.49168
106, 0.24008
107, 0.15475
108, 0.13092
109, 0.27761
110, 0.08286
111, 0.18835
112, 0.76677
113, 0.47837
114, 0.41355
115, 0.20082
116, 0.58384
117, 0.28897
118, 0.68313
119, 0.18781
120, 0.62049
121, 0.17565
122, 0.06345
123, 0.76983
124, 0.33605
125, 0.62714
126, 0.28903
127, 0.23702
128, 0.16011
129, 0.29258
130, 0.28203
131, 0.12167
132, 0.21441
133, 0.18997
134, 0.47129
135, 0.74925
136, 0.35264
137, 0.17905
138, 0.22883
139, 0.69868
140, 0.40761
141, 0.38333
142, 0.26956
143, 0.32091
144, 0.68240
145, 0.89666
146, 0.76806
147, 0.39117
148, 0.26650
149, 0.53899
150, 0.16751
151, 0.14337
152, 0.23843
153, 0.31268
154, 0.33880
155, 0.09770
156, 0.51500
157, 0.43774
158, 0.45060
159, 0.20565
160, 0.83405
161, 0.28410
162, 0.50035
